PRAC-ELEC-WORKER,Electrical worker,true,false,?,?,?,?,?
PRAC-ELECTRICIAN,Electrician (certification obtained),true,false,?,?,?,?,?
PRAC-ELECTRO-REP,Electronic repair,true,false,?,?,?,?,?
PRAC-ENG-CHEM,Chemical Engineer,true,false,?,?,?,?,?
PRAC-ENG-CIVIL,Civil Engineer,true,false,?,?,?,?,?
PRAC-ENG-ELEC,Electrical Engineer,true,false,?,?,?,?,?
PRAC-ENG-INDSTRY,Industrial Engineer,true,false,?,?,?,?,?
PRAC-ENG-MECH,Mechanical Engineer,true,false,?,?,?,?,?
PRAC-ENG-MINE,Mining Engineer,true,false,?,?,?,?,?
PRAC-ENG-OFFICER,Engineering Officer (certification obtained),true,false,?,?,?,?,?
PRAC-ENG-TELECOM,Telecommunications Engineer,true,false,?,?,?,?,?
PRAC-FACTORY-WRK,Factory Worker,true,false,?,?,?,?,?
PRAC-FARM-ARABLE,Farmer (Arable),true,false,?,?,?,?,?
PRAC-FARM-LABOUR,Farm Labourer,true,false,?,?,?,?,?
PRAC-FARM-LIVEST,Farmer (Livestock),true,false,?,?,?,?,?
PRAC-FASHION-DES,Fashion Designer,true,false,?,?,?,?,?
PRAC-FIREMAN,Fireman,true,false,?,?,?,?,?
PRAC-FISHERMAN,Fisherman,true,false,?,?,?,?,?
PRAC-FOOD-MANAG,Food Service Management,true,false,?,?,?,?,?
PRAC-FOOD-OTHER,Other Food Service/Hospitality,true,false,?,?,?,?,?
PRAC-FORESTRY,Forestry,true,false,?,?,?,?,?
PRAC-GEN-CONSTRU,General construction worker,true,false,?,?,?,?,?
PRAC-GLAZIER,Glazier,true,false,?,?,?,?,?
PRAC-HAIRDRESSER,Hairdresser,true,false,?,?,?,?,?
PRAC-HOME-MAKER,Homemaker,true,false,?,?,?,?,?
PRAC-HORTICULTUR,Horticulturist,true,false,?,?,?,?,?
PRAC-HOSP-COORDI,Hospitality coordinator,true,false,?,?,?,?,?
PRAC-HOUSEKEEPER,Housekeeper,true,false,?,?,?,?,?
PRAC-LABOURER,Labourer,true,false,?,?,?,?,?
PRAC-LIFEGUARD,Lifeguard,true,false,?,?,?,?,?
PRAC-MACHI-MAINT,Machine Maintenance,true,false,?,?,?,?,?
PRAC-MAINT-OTHER,Other Maintenance,true,false,?,?,?,?,?
PRAC-MAINT-WORK,Maintenance worker,true,false,?,?,?,?,?
PRAC-MECHANIC,Mechanic - Auto/Truck,true,false,?,?,?,?,?
